Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
17730,France,"Firm and solid with great swathes of black fruits as well as dense tannins. Ripe fruits are a major element of this concentrated wine. The wine has power and a firm tannic core, and certainly needs aging for seven years.",,94,,Burgundy,Corton Grèves,,Roger Voss,@vossroger,Domaine des Croix 2012  Corton Grèves,Pinot Noir,Domaine des Croix
17744,France,"A rich wine with great fruits as well as structure. It has the weight and great concentration of a grand cru selection. Plum fruits and acidity offer the potential for long aging. It's powerful, while also showing elegance. Age for 6–8 years.",La Vigne au Saint,94,,Burgundy,Corton,,Roger Voss,@vossroger,Domaine des Croix 2013 La Vigne au Saint  (Corton),Pinot Noir,Domaine des Croix
18073,France,"A perfumed village wine, this is made from four different parcels. The wine offers an attractive touch of tannin and spice to go with the forward red fruits. It should develop relatively quickly, and will be ready to drink from 2018.",,90,,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine des Croix 2012  Beaune,Pinot Noir,Domaine des Croix
20208,France,"A structured wine, packed with red fruits and delightful acidity. There is a core of dark tannin and a solid structure as well as the bright freshness at the end. Because it has this structure, it's worth aging for 4–5 years.",,90,,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine des Croix 2015  Beaune,Pinot Noir,Domaine des Croix
22520,France,"This wine is perfumed with cherries and red berries. Its structure, which is certainly there, is almost secondary to this brilliant fruit. Balanced with a mineral dryness, the wine is certainly going to age into a ripe, pure-fruited wine. Drink from 2020.",Les Grèves Premier Cru,94,,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine des Croix 2013 Les Grèves Premier Cru  (Beaune),Pinot Noir,Domaine des Croix
42468,France,"A structured wine, packed with red fruits and delightful acidity. There is a core of dark tannin and a solid structure as well as the bright freshness at the end. Because it has this structure, it's worth aging for 4–5 years.",,90,,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine des Croix 2011  Beaune,Pinot Noir,Domaine des Croix
45331,France,"While this wine is firm, with some fine tannins, it also has a pure line in fresh strawberry fruits that will develop as the tannins soften. This perfumed wine will develop slowly. Drink from 2020.",Les Cent-Vignes Premier Cru,93,,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine des Croix 2014 Les Cent-Vignes Premier Cru  (Beaune),Pinot Noir,Domaine des Croix
84805,France,"This wine has a smoky character that gives an exotic touch to the red fruits. It comes from 60-year old vines that give concentration and dark tannins. As it ages, the wine will broaden and expand to convey opulence and richness. Drink from 2022.",Grèves,95,,Burgundy,Corton,,Roger Voss,@vossroger,Domaine des Croix 2012 Grèves  (Corton),Pinot Noir,Domaine des Croix
84827,France,"Dark fruit backs up the dense, dark and firm character of this wine. There is sweetness from the ripe fruits into which the tannins fall, leaving a trace of dryness at the end. A fine wine with a great future; drink from 2022.",La Vigne au Saint,95,,Burgundy,Corton,,Roger Voss,@vossroger,Domaine des Croix 2014 La Vigne au Saint  (Corton),Pinot Noir,Domaine des Croix
104984,France,"A fine, mineral, structured wine with a very dry, solid core. Juicy red fruits offer a hint for its future ripeness. It has the freshness of the vintage that shows through at the end of this chunky wine. Age for 5–7 years.",Bressandes Premier Cru,94,,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine des Croix 2015 Bressandes Premier Cru  (Beaune),Pinot Noir,Domaine des Croix
117064,France,"From one of the top Beaune premier-cru vineyards, this wine is dark and dense with hints of wood as well as chocolate. To balance this, the ripe berry fruit is right there, deliciously fresh and with a tight line of acidity. A wine with a future, it is not ready to drink before 2020.",Les Bressandes Premier Cru,93,,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine des Croix 2014 Les Bressandes Premier Cru  (Beaune),Pinot Noir,Domaine des Croix
120764,France,"Made from fruit sourced from a small premier cru that's located next to the famous Clos des Mouches, this is juicy, round and ripe, with a great swathe of soft, fleshy tannins.",Pertuisots Premier Cru,92,,Burgundy,Beaune,,Roger Voss,@vossroger,Domaine des Croix 2010 Pertuisots Premier Cru  (Beaune),Pinot Noir,Domaine des Croix
122021,France,"A dry, mineral wine, hiding its potential richness. Flavors of ripe pears and yellow fruits are matched by lime acidity. The wine has considerable power and a dense character, showing the immense density that comes from this vineyard. Age for 4–6 years and more.",,95,,Burgundy,Corton-Charlemagne,,Roger Voss,@vossroger,Domaine des Croix 2010  Corton-Charlemagne,Chardonnay,Domaine des Croix
122084,France,"This wine has firm tannins and a dry, structured core. From vines that are close to Beaune, it is dense and concentrated, although with the pure fruit that marks out the vintage. It is going to develop well and with great style.",Les Peuillets Premier Cru,92,,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine des Croix 2014 Les Peuillets Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine des Croix
