candidate_email_address,applied_for
leo.martin@yandex.com,https://www.welcometothejungle.com/fr/companies/mes-allocs/jobs/bras-droit-ceo_paris
gabriel.legrand@gmx.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/sdr-sales-development-representative-stage_paris
raphael.bernard@gmx.us,https://www.welcometothejungle.com/fr/companies/work4/jobs/product-management-associate_paris
jade.garnier@aol.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/stage-customer-success-manager_paris
louise.dubois@icloud.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/inside-sales_paris
arthur.faure@gmail.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/account-executive_paris_WORK4_w0LmaRV
louis.thomas@gmx.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/charge-de-gestion-comptable-et-financiere_paris
jules.rousseau@gmail.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/sdr_paris
emma.robert@zoho.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/assistant-traffic-manager-f-h_paris_WORK4_QKaQmKY
adam.blanc@protonmail.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/business-developer_paris
lucas.richard@icloud.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/assistant-traffic-manager-f-h_paris
hugo.guerin@gmail.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/charge-administration-comptabilite-et-finance_paris
alice.petit@gmx.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/stage-acquisition-growth_paris
noah.muller@outlook.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/marketing-lead-emea_paris
ambre.durand@yahoo.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/digital-marketing-bizdev-stage-pre-embauche_paris
liam.henry@yandex.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/head-of-marketing-emea_paris
lina.leroy@yandex.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/customer-operations-manager-pre-embauche_paris
gabin.roussel@gmx.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/responsable-comptable-et-finance_paris
rose.moreau@zoho.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/digital-marketing-business-development-stage-pre-embauche_paris_WORK4_DOPe5bG
chloe.nicolas@hotmail.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/marketing-manager-emea_paris
sacha.simon@protonmail.com,https://www.welcometothejungle.com/fr/companies/work4/jobs/hr-manager_paris
paul.perrin@gmx.us,https://www.welcometothejungle.com/fr/companies/work4/jobs/business-development-representative-stage-fin-d-etude_paris
mia.laurent@gmx.com,https://www.welcometothejungle.com/fr/companies/edf-store-forecast/jobs/administrateur-systemes-et-bases-de-donnees-h-f_villeurbanne
lea.morin@gmx.us,https://www.welcometothejungle.com/fr/companies/wyca-robotics/jobs/ingenieur-commercial_toulouse
nathan.lefebvre@protonmail.com,https://www.welcometothejungle.com/fr/companies/wyca-robotics/jobs/chef-de-projet-confirme_toulouse
anna.mathieu@outlook.com,https://www.welcometothejungle.com/fr/companies/la-belle-assiette/jobs/operations-manager-french-speaking-internship_paris
mila.michel@gmail.com,https://www.welcometothejungle.com/fr/companies/alumnforce/jobs/developpeur-php-expert-full-remote-paris_paris
aaron.clement@gmx.us,https://www.welcometothejungle.com/fr/companies/alumnforce/jobs/lead-developpeur-php-js-data-paris_paris
mohamed.garcia@yandex.com,https://www.welcometothejungle.com/fr/companies/alumnforce/jobs/developpeur-front-end-oriente-industrialise-design-system-twig-js-vuejs-html5_paris
ethan.gauthier@gmx.us,https://www.welcometothejungle.com/fr/companies/alumnforce/jobs/developpeur-frontend-js-dom_paris
julia.david@yandex.com,https://www.welcometothejungle.com/fr/companies/toucan-toco/jobs/presales-solutions-engineer_boston
tom.dumont@outlook.com,https://www.welcometothejungle.com/fr/companies/toucan-toco/jobs/boston-project-manager-dataviz_boston
eden.bertrand@gmx.com,https://www.welcometothejungle.com/fr/companies/toucan-toco/jobs/boston-account-executive-pilot_boston
romy.lopez@zoho.com,https://www.welcometothejungle.com/fr/companies/toucan-toco/jobs/boston-sales-development-representative-outbound_boston
leon.roux@gmail.com,https://www.welcometothejungle.com/fr/companies/ledger/jobs/regional-technical-account-manager-united-states_paris
lou.fontaine@yandex.com,https://www.welcometothejungle.com/fr/companies/ledger/jobs/public-policy-director-us_new-york
tiago.vincent@gmx.us,https://www.welcometothejungle.com/fr/companies/ledger/jobs/head-of-communications-and-pr_new-york
ines.chevalier@yandex.com,https://www.welcometothejungle.com/fr/companies/ledger/jobs/account-manager-americas_paris
theo.fournier@icloud.com,https://www.welcometothejungle.com/fr/companies/sendinblue/jobs/bilingual-customer-success-manager-english-spanish_seattle
lena.robin@yahoo.com,https://www.welcometothejungle.com/fr/companies/sendinblue/jobs/customer-care-representative-italian_seattle
agathe.morel@yahoo.com,https://www.welcometothejungle.com/fr/companies/sendinblue/jobs/customer-care-representative_seattle_SENDI_8b2MM1V
isaac.masson@zoho.com,https://www.welcometothejungle.com/fr/companies/ab-tasty/jobs/sales-development-representative_paris_AT_qYLLpgj
